Brand,Model,Type,Manufactured_year,Distance(km),Engine(cc),Price
Bajaj,Bajaj V15  2018,Motorbikes,2018,20000,150,105000
Bajaj,Bajaj Pulsar AS . 2017,Motorbikes,2017,46000,150,120000
Bajaj,Bajaj Pulsar 150 2017,Motorbikes,2017,40000,150,95000
Bajaj,Bajaj Pulsar 150 2018,Motorbikes,2018,8200,150,130000
Bajaj,Bajaj Pulsar 150 2018,Motorbikes,2018,68500,150,125000
Bajaj,Bajaj Pulsar 150 . 2009,Motorbikes,2009,75000,150,70000
Bajaj,Bajaj Pulsar 150 . 2016,Motorbikes,2016,92137,150,100000
Bajaj,Bajaj Pulsar 150 2018,Motorbikes,2018,68500,150,125000
Bajaj,Bajaj Discover 125 . 2020,Motorbikes,2020,23000,125,130000
Bajaj,Bajaj Discover 100 . 2018,Motorbikes,2018,30000,100,88500
Bajaj,Bajaj V15  2018,Motorbikes,2018,20000,150,105000
Bajaj,Bajaj Pulsar 150 2018,Motorbikes,2018,68500,150,125000
Bajaj,Bajaj Pulsar 150 . 2019,Motorbikes,2019,20000,150,90000
Bajaj,Bajaj Pulsar 150  2017,Motorbikes,2017,21000,150,120000
Bajaj,Bajaj Discover 150 . 2012,Motorbikes,2012,50000,150,95000
Bajaj,Bajaj Pulsar 150  2013,Motorbikes,2013,38000,150,75000
Bajaj,Bajaj Pulsar NS 2018,Motorbikes,2018,31000,160,120000
Bajaj,Bajaj Pulsar 150 . 2015,Motorbikes,2015,30000,150,65000
Bajaj,Bajaj Pulsar . 2014,Motorbikes,2014,26486,150,82000
Bajaj,Bajaj Platina . 2019,Motorbikes,2019,40000,100,70000
Bajaj,Bajaj Discover 2023,Motorbikes,2023,18000,135,120000
Bajaj,Bajaj Discover 100  2018,Motorbikes,2018,23000,110,90000
Bajaj,Bajaj Platina modified 2020,Motorbikes,2020,20000,100,20000
Bajaj,Bajaj Avenger 160 . 2021,Motorbikes,2021,10000,160,225000
Bajaj,Bajaj Avenger 150 Street  2019,Motorbikes,2019,11000,149,160000
Bajaj,Bajaj Pulsar 150  2012,Motorbikes,2012,35000,150,95000
Bajaj,Bajaj Pulsar 135 . 2013,Motorbikes,2013,35000,135,82000
Bajaj,Bajaj Pulsar AS 2018,Motorbikes,2018,57000,150,110000
Bajaj,Bajaj V15  2018,Motorbikes,2018,20000,150,105000
Bajaj,Bajaj Platina . 2016,Motorbikes,2016,5700,100,53000
Bajaj,Bajaj Pulsar AS . 2017,Motorbikes,2017,50000,150,160000
Bajaj,Bajaj Pulsar NS . 2019,Motorbikes,2019,42000,160,128500
Bajaj,Bajaj Discover . 2023,Motorbikes,2023,6500,110,125999
Bajaj,Bajaj Discover সিঙ্গেল ডিক্স 110cc 2022,Motorbikes,2022,11000,110,107000
Bajaj,Bajaj Pulsar . 2014,Motorbikes,2014,26486,150,82000
Bajaj,Bajaj Pulsar dok all 💯🆗 2012,Motorbikes,2012,25412,150,67000
Bajaj,Bajaj Discover Red 2020,Motorbikes,2020,15000,110,110000
Bajaj,Bajaj Discover 125 . 2013,Motorbikes,2013,67000,125,72000
Bajaj,Bajaj Discover 125 . 2019,Motorbikes,2019,16000,125,95000
Bajaj,Bajaj Pulsar 150 . 2010,Motorbikes,2010,60000,14,55000
Bajaj,Bajaj CT 100 . 2017,Motorbikes,2017,30000,100,62000
Bajaj,Bajaj Discover 125 . 2019,Motorbikes,2019,16000,125,95000
Bajaj,Bajaj Discover 125 . 2022,Motorbikes,2022,9000,125,118500
Bajaj,Bajaj Pulsar 150 2021,Motorbikes,2021,10000,150,151500
Bajaj,Bajaj Discover 100 . 2017,Motorbikes,2017,32000,100,78000
Bajaj,Bajaj Discover 135 . 2020,Motorbikes,2020,30000,100,50000
Bajaj,Bajaj Discover 125 2020,Motorbikes,2020,14000,125,130000
Bajaj,Bajaj Pulsar 150 . 2011,Motorbikes,2011,38000,150,95000
